,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,corrected_lons,long_rad,lat_rad,ocean_depth
0,2023-05-10T16:02:00.334Z,-15.6278,-174.4925,210.0,7.6,mww,380.0,15.0,3.744,0.7,us,us6000kawn,2023-06-08T04:11:31.460Z,Tonga,earthquake,7.37,1.841,0.055,32.0,reviewed,us,us,185.5075,3.2377166621433804,-0.27275656484316985,2091.154052734375
2,2023-01-18T06:06:11.454Z,2.7306,127.0221,29.708,7.0,mwc,141.0,21.0,1.976,0.95,us,us7000j553,2023-05-13T05:45:45.054Z,"156 km NW of Tobelo, Indonesia",earthquake,6.7,3.131,0.027,133.0,reviewed,us,us,127.0221,2.216953867797489,0.047657960554957156,2303.94775390625
3,2023-01-09T17:47:35.037Z,-7.0586,130.009,104.95,7.6,mww,113.0,21.0,1.574,0.8,us,us7000j36j,2023-04-05T16:41:13.472Z,"Pulau Pulau Tanimbar, Indonesia",earthquake,6.9,2.259,0.041,58.0,reviewed,us,us,130.009,2.2690851072253078,-0.12319581058127176,4196.06787109375
5,2022-11-22T02:03:06.891Z,-9.8198,159.6033,14.0,7.0,mww,117.0,17.0,0.509,0.58,us,us7000irfb,2023-01-30T06:00:41.040Z,"18 km SW of Malango, Solomon Islands",earthquake,6.26,1.711,0.055,32.0,reviewed,us,us,159.6033,2.7856030820482656,-0.1713878418873392,1763.7362060546875
6,2022-11-12T07:09:13.514Z,-20.1112,-178.3453,579.0,7.0,mww,147.0,18.0,3.125,0.73,us,us7000ip8h,2023-01-28T19:58:09.040Z,,earthquake,9.87,1.962,0.06,27.0,reviewed,us,us,181.6547,3.170472616722543,-0.3510066565270836,1337.855224609375
7,2022-11-11T10:48:46.710Z,-19.2881,-172.1471,37.0,7.3,mww,149.0,21.0,1.865,0.62,us,us7000ip0l,2023-01-21T19:27:21.040Z,"205 km ESE of Neiafu, Tonga",earthquake,6.61,1.937,0.063,24.0,reviewed,us,us,187.8529,3.2786516144196556,-0.3366408514539183,5792.78759765625
9,2022-09-14T11:04:06.558Z,-21.1909,170.2666,137.0,7.0,mww,192.0,45.0,2.977,0.65,us,us7000i7ya,2022-11-19T23:03:11.040Z,"209 km SSE of Isangel, Vanuatu",earthquake,7.64,1.934,0.047,43.0,reviewed,us,us,170.2666,2.9717127761761777,-0.36985097646086634,2008.0689697265625
13,2021-12-29T18:25:51.962Z,-7.5482,127.5773,165.49,7.3,mww,,19.0,3.713,1.06,us,us7000g7lx,2022-03-05T23:10:53.040Z,"125 km NNE of Lospalos, Timor Leste",earthquake,6.3,3.3,0.052,36.0,reviewed,us,us,127.5773,2.2266439358045615,-0.13174094259903596,3040.537353515625
15,2021-10-02T06:29:17.897Z,-21.1265,174.8958,527.0,7.3,mww,,32.0,4.493,0.67,us,us6000fr0b,2021-12-10T21:14:02.040Z,Vanuatu region,earthquake,9.7,1.9,0.039,64.0,reviewed,us,us,174.8958,3.0525075579094985,-0.368726984422582,3135.295654296875
18,2021-08-11T17:46:13.143Z,6.4748,126.7151,55.14,7.1,mww,,25.0,1.273,1.27,us,us6000f48v,2023-04-10T05:46:40.584Z,"60 km ENE of Pondaguitan, Philippines",earthquake,6.5,3.7,0.037,71.0,reviewed,us,us,126.7151,2.2115957069938665,0.11300657840812885,1606.64892578125
22,2021-01-21T12:23:04.255Z,4.9931,127.5145,80.0,7.0,mww,,15.0,2.821,0.77,us,us7000d20e,2023-03-30T01:10:44.275Z,"211 km SE of Pondaguitan, Philippines",earthquake,6.3,1.9,0.061,26.0,reviewed,us,us,127.5145,2.225547869034309,0.08714603488132887,3515.597900390625
27,2020-03-25T02:49:21.160Z,48.9638,157.6955,57.8,7.5,mww,,12.0,4.109,0.66,us,us70008fi4,2022-08-08T21:31:52.041Z,"221 km SSE of Severo-Kuril’sk, Russia",earthquake,5.6,2.7,0.02,239.0,reviewed,us,us,157.6955,2.752305690578718,0.8545795242879994,7011.3193359375
29,2020-01-28T19:10:24.918Z,19.4193,-78.756,14.86,7.7,mww,,26.0,1.657,0.75,us,us60007idc,2022-03-10T05:04:04.558Z,"123 km NNW of Lucea, Jamaica",earthquake,6.0,2.9,0.022,199.0,reviewed,us,us,281.244,4.908633801478932,0.33893072343253483,5019.30712890625
30,2019-11-14T16:17:40.578Z,1.6213,126.4156,33.0,7.1,mww,,11.0,1.271,1.15,us,us60006bjl,2020-10-03T05:38:51.266Z,"141 km NW of Ternate, Indonesia",earthquake,6.1,1.7,0.036,75.0,reviewed,us,us,126.4156,2.2063684458841437,0.028297023162584065,1948.0096435546875
33,2019-06-24T02:53:39.830Z,-6.4078,129.1692,212.0,7.3,mww,,16.0,2.629,1.08,us,us600044zz,2020-07-10T17:30:11.502Z,Banda Sea,earthquake,5.1,1.8,0.045,48.0,reviewed,us,us,129.1692,2.2544278321670594,-0.11183720780929265,4049.994873046875
39,2018-12-29T03:39:09.740Z,5.8983,126.9209,60.21,7.0,mww,,21.0,1.769,1.45,us,us2000iyta,2023-04-09T11:52:49.662Z,"96 km ESE of Pondaguitan, Philippines",earthquake,6.1,3.2,0.038,67.0,reviewed,us,us,126.9209,2.215187594594471,0.10294475527038152,3173.385498046875
40,2018-12-20T17:01:55.150Z,55.0999,164.6993,16.56,7.3,mww,,23.0,4.126,0.79,us,us2000ivfw,2022-05-03T19:42:10.731Z,"187 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,7.9,2.9,0.025,155.0,reviewed,us,us,164.6993,2.8745450607298966,0.9616746725196235,5273.01220703125
41,2018-12-05T04:18:08.420Z,-21.9496,169.4266,10.0,7.5,mww,,18.0,2.405,0.74,us,us1000i2gt,2022-05-03T19:50:49.454Z,"166 km ESE of Tadine, New Caledonia",earthquake,5.1,1.5,0.047,44.0,reviewed,us,us,169.4266,2.957052010459425,-0.3830927894957474,4581.37451171875
44,2018-09-06T15:49:18.710Z,-18.4743,179.3502,670.81,7.9,mww,,12.0,1.431,1.07,us,us2000h9e2,2022-05-03T19:33:29.496Z,"45 km S of Levuka, Fiji",earthquake,9.5,2.8,0.025,157.0,reviewed,us,us,179.3502,3.130251504110334,-0.3224373620011884,2536.71240234375
45,2018-08-29T03:51:56.100Z,-22.0295,170.1262,21.43,7.1,mww,,23.0,2.548,0.98,us,us1000gjaz,2022-08-08T07:34:14.777Z,"238 km ESE of Tadine, New Caledonia",earthquake,5.8,2.8,0.049,40.0,reviewed,us,us,170.1262,2.9692623339063777,-0.38448730756809074,3858.34130859375
47,2018-08-19T00:19:40.670Z,-18.1125,-178.153,600.0,8.2,mww,,13.0,3.63,0.79,us,us1000gcii,2022-05-03T19:56:52.773Z,"267 km E of Levuka, Fiji",earthquake,9.6,1.9,0.045,47.0,reviewed,us,us,181.847,3.173828884874129,-0.3161227607674729,2219.450439453125
50,2018-01-23T09:31:40.890Z,56.0039,-149.1658,14.06,7.9,mww,,30.0,2.585,0.77,us,us2000cmy3,2022-05-23T18:35:06.718Z,"261 km SE of Chiniak, Alaska",earthquake,6.0,2.8,0.034,81.0,reviewed,us,us,210.8342,3.679750965808229,0.9774524489576523,4565.10693359375
51,2018-01-14T09:18:45.540Z,-15.7675,-74.7092,39.0,7.1,mww,,23.0,4.29,1.2,us,us2000cjfy,2022-05-03T18:45:10.126Z,"37 km W of Atiquipa, Peru",earthquake,7.0,1.8,0.032,95.0,reviewed,us,us,285.2908,4.979263785648638,-0.27519478980820594,1446.7969970703125
52,2018-01-10T02:51:33.290Z,17.4825,-83.52,19.0,7.5,mww,,12.0,4.581,0.82,us,us1000c2zy,2022-05-03T18:44:48.043Z,"203 km NNE of Barra Patuca, Honduras",earthquake,5.8,1.7,0.035,79.0,reviewed,us,us,276.48,4.825486315913922,0.30512718647990866,5324.4482421875
53,2017-11-19T22:43:29.250Z,-21.3246,168.6715,10.0,7.0,mww,,14.0,0.617,0.65,us,us2000brlf,2022-05-03T19:44:28.459Z,"85 km ENE of Tadine, New Caledonia",earthquake,5.6,1.7,0.071,19.0,reviewed,us,us,168.6715,2.9438730292776154,-0.3721844816707828,2976.998779296875
56,2017-07-17T23:34:13.740Z,54.4434,168.857,10.0,7.7,mww,,13.0,3.564,0.68,us,us20009x42,2022-08-07T12:08:04.728Z,"Komandorskiye Ostrova, Russia region",earthquake,7.0,1.8,0.036,73.0,reviewed,us,us,168.857,2.947110615040065,0.9502165859802807,2701.669677734375
58,2017-01-10T06:13:48.140Z,4.4782,122.6171,627.17,7.3,mww,,18.0,3.813,1.05,us,us10007s9c,2022-05-03T19:43:16.287Z,"189 km SSE of Tabiauan, Philippines",earthquake,8.5,3.0,,,reviewed,us,us,122.6171,2.140072114247139,0.07815933456281006,4960.46240234375
59,2016-12-17T10:51:10.500Z,-4.5049,153.5216,94.54,7.9,mww,,13.0,1.389,0.97,us,us200081v8,2022-05-03T18:56:29.519Z,"140 km E of Kokopo, Papua New Guinea",earthquake,7.3,3.8,,,reviewed,us,us,153.5216,2.6794573929297267,-0.07862533747309255,3042.2421875
60,2016-12-08T17:38:46.280Z,-10.6812,161.3273,40.0,7.8,mww,,13.0,1.836,0.88,us,us20007z80,2022-05-03T18:56:20.197Z,"69 km WSW of Kirakira, Solomon Islands",earthquake,8.3,1.8,,,reviewed,us,us,161.3273,2.815692558352648,-0.18642210806401832,1131.8258056640625
61,2016-07-29T21:18:24.740Z,18.5429,145.5073,196.0,7.7,mww,,14.0,3.294,1.38,us,us100068jg,2022-05-03T18:53:40.050Z,"Pagan region, Northern Mariana Islands",earthquake,7.5,1.8,,,reviewed,us,us,145.5073,2.539581470687145,0.3236346578680565,2782.981689453125
69,2015-10-20T21:52:02.560Z,-14.8595,167.3028,135.0,7.1,mww,,11.0,0.592,1.02,us,us10003q0q,2022-08-01T12:56:36.835Z,"31 km NE of Port-Olry, Vanuatu",earthquake,4.3,1.8,,,reviewed,us,us,167.3028,2.919984707805569,-0.2593472002000974,1637.89453125
71,2015-07-18T02:27:33.820Z,-10.4012,165.1409,11.0,7.0,mww,,22.0,5.205,1.09,us,us20002yaw,2022-07-31T19:10:45.445Z,"80 km WNW of Lata, Solomon Islands",earthquake,7.2,1.7,,,reviewed,us,us,165.1409,2.882252434706704,-0.1815351861584342,2798.9853515625
72,2015-05-30T11:23:02.110Z,27.8386,140.4931,664.0,7.8,mww,,12.0,1.675,1.12,us,us20002ki3,2022-05-03T17:24:11.194Z,"Bonin Islands, Japan region",earthquake,9.2,1.9,,,reviewed,us,us,140.4931,2.4520671713336455,0.48587522914569337,2927.93408203125
73,2015-05-07T07:10:19.590Z,-7.2175,154.5567,10.0,7.1,mww,,11.0,3.835,0.7,us,us20002das,2022-07-31T04:59:50.659Z,"143 km SW of Panguna, Papua New Guinea",earthquake,7.1,1.7,,,reviewed,us,us,154.5567,2.69752329601712,-0.12596913876269072,6413.1123046875
75,2015-03-29T23:48:31.010Z,-4.7294,152.5623,41.0,7.5,mww,,19.0,0.666,1.32,us,us10001rvu,2022-07-28T05:12:47.373Z,"53 km SE of Kokopo, Papua New Guinea",earthquake,7.0,1.8,,,reviewed,us,us,152.5623,2.6627144494153447,-0.08254360164381983,1506.39599609375
76,2015-02-27T13:45:05.370Z,-7.2968,122.5348,552.06,7.0,mww,,12.0,1.362,1.12,us,usc000ttkd,2022-07-27T23:24:17.079Z,"150 km NNE of Maumere, Indonesia",earthquake,7.1,3.6,,,reviewed,us,us,122.5348,2.138635708272748,-0.12735318485952224,2295.360595703125
77,2014-11-15T02:31:41.720Z,1.8929,126.5217,45.0,7.1,mww,,18.0,1.397,0.71,us,usc000sxh8,2022-08-07T04:11:47.109Z,"155 km NW of Ternate, Indonesia",earthquake,5.8,1.7,,,reviewed,us,us,126.5217,2.2082202402205096,0.033037337411000664,1948.0096435546875
78,2014-11-01T18:57:22.380Z,-19.6903,-177.7587,434.0,7.1,mww,,13.0,4.415,0.84,us,usc000stdc,2022-07-27T06:28:20.737Z,Fiji region,earthquake,8.5,1.2,,,reviewed,us,us,182.2413,3.180710718114742,-0.34366056570543946,2282.42822265625
81,2014-04-19T13:28:00.810Z,-6.7547,155.0241,43.37,7.5,mww,,16.0,3.82,1.25,us,usb000pr89,2022-05-03T16:48:17.192Z,"70 km SW of Panguna, Papua New Guinea",earthquake,,3.8,,,reviewed,us,us,155.0241,2.7056809649409415,-0.11789175498446097,1892.788818359375
